Plaintext Length,Encryption Time,Decryption Time
1,0.014993429183959961,0.025023221969604492
2,0.01697993278503418,0.022001266479492188
3,0.0149993896484375,0.025995492935180664
4,0.034566402435302734,0.02503347396850586
5,0.0149993896484375,0.02400064468383789
6,0.013998985290527344,0.025974035263061523
7,0.015014886856079102,0.04300236701965332
8,0.014995813369750977,0.026999711990356445
9,0.014009714126586914,0.02397775650024414
10,0.012025117874145508,0.0409998893737793
11,0.01300191879272461,0.021000146865844727
12,0.012997865676879883,0.02200150489807129
13,0.014000654220581055,0.02698659896850586
14,0.036011457443237305,0.023987531661987305
15,0.016999483108520508,0.028011322021484375
16,0.017001628875732422,0.028982162475585938
17,0.014997243881225586,0.04900813102722168
18,0.01598834991455078,0.026012420654296875
19,0.018012523651123047,0.025982141494750977
20,0.014990806579589844,0.021002531051635742
21,0.038002967834472656,0.02802109718322754
22,0.018004894256591797,0.027982234954833984
23,0.018007516860961914,0.027991294860839844
24,0.05400228500366211,0.029999971389770508
25,0.02317190170288086,0.03299593925476074
26,0.021995067596435547,0.04399991035461426
27,0.0359952449798584,0.0480194091796875
28,0.01998758316040039,0.03099989891052246
29,0.0190126895904541,0.028987646102905273
30,0.01898670196533203,0.029021501541137695
31,0.03699159622192383,0.03401756286621094
32,0.02097177505493164,0.03202462196350098
33,0.018973588943481445,0.05002450942993164
34,0.02197575569152832,0.036011457443237305
35,0.019011735916137695,0.02902698516845703
36,0.01894831657409668,0.030027389526367188
37,0.04097867012023926,0.03200531005859375
38,0.01798534393310547,0.027016162872314453
39,0.01900506019592285,0.02799224853515625
40,0.018013715744018555,0.04799842834472656
41,0.020993709564208984,0.03300833702087402
42,0.02124953269958496,0.03402066230773926
43,0.019982337951660156,0.031003236770629883
44,0.020987749099731445,0.04700446128845215
45,0.019997358322143555,0.03499794006347656
46,0.02100396156311035,0.028997182846069336
47,0.021000146865844727,0.031996726989746094
48,0.04500627517700195,0.03099822998046875
49,0.021999359130859375,0.030997276306152344
50,0.023000478744506836,0.0320127010345459
51,0.02201223373413086,0.05399036407470703
52,0.022986412048339844,0.02999711036682129
53,0.02500438690185547,0.03501081466674805
54,0.020990610122680664,0.02802109718322754
55,0.04299736022949219,0.03501296043395996
56,0.022981882095336914,0.03400540351867676
57,0.021990060806274414,0.029999494552612305
58,0.023000717163085938,0.051023006439208984
59,0.02408766746520996,0.03363633155822754
60,0.023009538650512695,0.034000396728515625
61,0.02299046516418457,0.03400397300720215
62,0.022996187210083008,0.052024126052856445
63,0.02099013328552246,0.030019283294677734
64,0.022018909454345703,0.0330045223236084
65,0.02500772476196289,0.037000179290771484
66,0.04600024223327637,0.037999868392944336
67,0.025010347366333008,0.0369873046875
68,0.023015499114990234,0.031001806259155273
69,0.027012109756469727,0.05897784233093262
70,0.025010108947753906,0.03600001335144043
71,0.02500009536743164,0.03399991989135742
72,0.02599787712097168,0.03898811340332031
73,0.042859792709350586,0.03401350975036621
74,0.025002717971801758,0.03300952911376953
75,0.025229692459106445,0.03597283363342285
76,0.025996685028076172,0.057000160217285156
77,0.02699875831604004,0.03800225257873535
78,0.025999069213867188,0.03601193428039551
79,0.026000261306762695,0.034987688064575195
80,0.026973247528076172,0.05800175666809082
81,0.029006242752075195,0.04101872444152832
82,0.027988195419311523,0.03901171684265137
83,0.025988101959228516,0.05201315879821777
84,0.02698826789855957,0.036011457443237305
85,0.026976823806762695,0.035004615783691406
86,0.02700638771057129,0.037012338638305664
87,0.027973175048828125,0.057000160217285156
88,0.028001785278320312,0.03800678253173828
89,0.02699112892150879,0.037134408950805664
90,0.026004552841186523,0.03602004051208496
91,0.0280001163482666,0.05598783493041992
92,0.02699589729309082,0.0410001277923584
93,0.029987812042236328,0.04201221466064453
94,0.029012680053710938,0.05298948287963867
95,0.029997825622558594,0.04201221466064453
96,0.03297758102416992,0.038022518157958984
97,0.029999971389770508,0.03899979591369629
98,0.0509791374206543,0.043016672134399414
99,0.03098773956298828,0.04198884963989258
100,0.027003765106201172,0.03699994087219238
101,0.031987905502319336,0.06299996376037598
102,0.030984878540039062,0.04018139839172363
